date,AI proof career,AI taking my job,ChatGPT layoffs,automation job loss,jobs replaced by AI,will AI replace my job
2019-01-01,0.0,0.0,0.0,0.748726,0.163494,0.0
2019-02-01,0.408025,0.0,0.0,0.009847,0.010155,0.0
2019-03-01,0.09385,0.013074,0.024233,0.0,0.062461,0.0
2019-04-01,0.0,0.144127,0.20474,0.606751,0.286389,0.0
2019-05-01,0.0,0.0,0.011486,0.0,0.26357,0.0
2019-06-01,0.072371,0.116316,0.155126,0.0,0.010838,0.0
2019-07-01,0.0,0.001023,0.016997,0.557686,0.246835,0.0
2019-08-01,0.1071,0.0,0.115325,0.059321,0.09243,0.0
2019-09-01,0.070986,0.04621,0.102658,0.050946,0.663614,0.0
2019-10-01,0.0,0.019906,0.016609,0.099497,0.081882,0.0
2019-11-01,0.0,0.0,0.0,0.154437,0.069369,0.0
2019-12-01,0.0,0.00698,0.0,0.0,0.319966,0.0
2020-01-01,0.0,0.0,0.148905,0.0,0.176464,0.0
2020-02-01,0.12846,0.011352,0.087783,0.0,0.261098,0.0
2020-03-01,0.032114,0.066213,0.0,0.115662,0.113575,0.0
2020-04-01,0.0,0.158602,0.0,0.116827,0.423789,0.0
2020-05-01,0.025977,0.0,0.0,0.166308,0.097269,0.0
2020-06-01,0.057798,0.213303,0.144434,0.121032,0.461298,0.0
2020-07-01,0.0,0.0,0.088606,0.273857,0.342279,0.0
2020-08-01,0.023059,0.0,0.0,0.189817,0.332088,0.0
2020-09-01,0.008731,0.058832,0.020013,0.0,0.424494,0.0
2020-10-01,0.0,0.028099,0.0,0.09493,0.267234,0.0
2020-11-01,0.053668,0.0,0.0,0.129902,0.353861,0.0
2020-12-01,0.084118,0.0,0.133445,0.100268,0.223422,0.0
2021-01-01,0.162458,0.0,0.098155,0.0,0.358534,0.0
2021-02-01,0.15807,0.0,0.03307,0.211327,0.100062,0.0
2021-03-01,0.0,0.08496,0.0,0.104665,0.180087,0.0
2021-04-01,0.0,0.035702,0.079641,1.134557,0.176426,0.0
2021-05-01,0.077255,0.0,0.0,0.647845,0.010613,0.0
2021-06-01,0.077068,0.08996,0.0,0.378835,0.072574,0.0
2021-07-01,0.077257,0.03073,0.0,0.21386,0.233217,0.0
2021-08-01,0.57791,0.081286,0.040312,0.070833,0.16857,0.0
2021-09-01,0.085634,0.062963,0.112268,0.026023,0.450169,0.0
2021-10-01,0.170335,0.0,0.0,0.164957,0.353633,0.0
2021-11-01,0.1431,0.0,0.0,0.030029,0.136727,0.0
2021-12-01,0.097709,0.074729,0.0,0.0,0.160799,0.0
2022-01-01,0.0,0.061037,0.0,0.0,0.243465,0.0
2022-02-01,0.113845,0.0,0.048767,0.226419,0.320087,0.0
2022-03-01,0.0,0.011733,0.074737,0.341161,0.269343,0.0
2022-04-01,0.0,0.127766,0.0,0.012011,0.374748,0.0
2022-05-01,0.0,0.0,0.205509,0.107097,0.232642,0.0
2022-06-01,0.012281,0.05471,0.0,1.20724,0.220819,0.0
2022-07-01,0.347199,0.0,0.0,0.304643,0.174451,0.0
2022-08-01,0.0,0.0,0.0,0.062874,0.182229,0.0
2022-09-01,0.102939,0.109878,0.0,0.0,0.410534,0.0
2022-10-01,0.0,0.082542,0.0,0.0,0.346179,0.0
2022-11-01,0.0,0.081351,0.0,0.43262,0.056045,0.0
